Title,Company,DeadlineHoSo,Salary,Quantity,Hthuc,CapBac,GioiTinh,KinhNghiem,DiaChi,Skill,JobData
Android Developer,FPT Software," Hạn nộp hồ sơ: 30/04/2023
","
Thoả thuận
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,3 năm,"Hà Nội,Cầu Giấy,Thạch Thất",,"• Working in Global delivery team (US, China, India, Sing, VN,..),• Develop application/service for mobile (handheld) products in logistics industries, printing, scanning and so on…,• Porting system to new chipset, upgrade Android OS version,• Independently responsible for collecting, analyzing and handling customer requirements,• Ensure the performance, quality, and responsiveness of applications,• Integration / Backporting of CVEs mentioned in Google’s Monthly security bulletin,• Source code conflict resolution if any patches cannot be applied directly.,• Conduct Google compliance testing with latest version of test suites (CTS, CTS-Verifier, CTS-on-GSI, GTS, STS, VTS),• Fixing of defects arising due to Security Patches integration,• Create analysis report & test report.,• Bachelor’s degree in Computer Engineering, Electrical Engineering or Computer Science,• At least 3 years’ experience in Android platform development & Linux Kernel Development,• Proficiency in OOP, knowledge of data structures and algorithms.,• Strong knowledge of Android framework development,• Excellent C/C++, Java, JNI (Java native interface),• Experience with Linux kernel,,• Strong knowledge in algorithm, data structure and object oriented programming,• Familiar with Android/Linux build system,• Proficiency with source control management such as Git, Repo, Gerrit or equivalent,• Good English communication, ,• Have experience in Google CVE and chipset CVE issue analysis and backporting,• Have experience with Google compliance test program,• Have experience with Qualcomm chipset.,• Good knowledge of SELinux,• Familiarity with Agile development processes,• “FPT care” health insurance provided by AON and is exclusive for FPT employees.,• Annual Summer Vacation: follows company’s policy and starts from May every year,• Salary review 2 times/year or on excellent performance,• International, dynamic, friendly working environment,• Annual leave, working conditions follow Vietnam labor laws.,• Other allowances: lunch allowance, working on-site allowance, etc."
System Engineer,Công ty Cổ phần Viễn thông - Tin học Bưu điện," Hạn nộp hồ sơ: 22/12/2022
","
Tới 1,800 USD
 ",2 người,Toàn thời gian,Nhân viên,Nam,1 năm,"Hà Nội,Cầu Giấy","System Admin,MCSA,VMWare","Tham gia triển khai các dự án CNTT: khảo sát, lắp đặt, cấu hình, nghiệm thu, đào tạo,Cập nhật, nghiên cứu và làm chủ các giải pháp CNTT của các hãng Cisco, HPE, Dell/EMC, Nutanix,..,Triển khai, cấu hình tích hợp hệ thống và giải pháp của các hãng Cisco, HPE, DellEMC, Netapp,… cụ thể như sau:,     o Triển khai giải pháp Hyperconverged Infrastructure của hãng Cisco, DellEMC,…,     o Triển khai giải pháp Server, Storage, Backup của các hãng Cisco, DellEMC, HPE, Fujitsu,…,     o Cài đặt cấu hình hệ điều hành, cơ sở dữ liệu, Active Directory, DNS, Exchange,1. Yêu cầu chung:,- Tốt nghiệp ĐH chuyên ngành CNTT hoặc Điện tử Viễn thông,- Có khả năng giao tiếp/ đọc hiểu tài liệu kỹ thuật bằng tiếng anh,- Có khả năng làm việc độc lập, khả năng làm việc theo nhóm,- Có khả năng làm việc trong môi trường áp lực cao. Kỹ năng xử lý tình huống tốt,- Sử dụng thành thạo tin học văn phòng,- Sẵn sàng làm ngoài giờ, đi công tác trong và ngoài nước khi cần thiết,2. Yêu cầu riêng:,- Có chứng chỉ MCSA, MCSE hoặc tương đương,- Có chứng chỉ Vmware, LPIC, Netapp hoặc tương đương,- Hiểu biết sâu các hệ thống máy chủ của Cisco, HPE, Dell, các hệ thống storage, SAN, Dell,…,- Có kinh nghiệm cài đặt, quản trị và vận hành các hệ thống máy chủ, lưu trữ,- Kinh nghiệm ở vị trí tương tự từ 1-2 năm,- Gói thu nhập năm hấp dẫn, lên đến 1800$/ tháng,- Thưởng lễ tết, tiền quần áo, ăn trưa, đi lại,- Được hưởng đầy đủ các chế độ về BHXH, BHYT, BHTN theo quy định của Nhà nước,- Công ty tài trợ nhiều khóa đào tạo, thi chứng chỉ của các hãng quốc tế"
"
Chuyên Viên Quản Trị Cơ Sở Dữ Liệu (Database Administrator)
",Ngân Hàng Thương Mại Cổ Phần Kiên Long," Hạn nộp hồ sơ: 31/01/2023
","
15-30 triệu
",1 người,Toàn thời gian,Nhân viên,Nam,3 năm,"Hà Nội,Nam Từ Liêm","Linux,Oracle,SQL,Unix","Hệ thống cơ sở dữ liệu Oracle,Hệ thống Oracle Middleware.,Hệ điều hành Windows, Linux, Unix, Sun,Hệ thống ảo hóa.,Sử dụng các công cụ PL/SQL,Kiến thức tổng quát về hệ thống và hạ tầng CNTT.,Quản trị hệ thống cơ sở dữ liệu Oracle.,Quản trị hệ thống Middleware.,Vận hành các hệ điều hành Windows, Linux, Unix, Sun,Vận hành hệ thống ảo hóa.,Sử dụng các công cụ PL/SQL,Tối thiểu 2 năm kinh quản trị và vận hành các hệ thống liên quan."
Lập Trình Viên PHP,Công ty TNHH công nghệ Magezon," Hạn nộp hồ sơ: 29/12/2022
","
14-20 triệu
",2 người,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,"Nam Từ Liêm,Hà Nội",,"- Lập trình PHP & Mysql trên nền Zend Framework
,- Tham gia phân tích, thiết kế, phát triển extension cho Magento 2
,- Tham gia vào các dự án phát triển website thương mại điện tử cho khách hàng trên toàn cầu
,- Tùy biến sản phẩm theo yêu cầu của khách hàng
,- Tham gia hỗ trợ khách hàng khi sử dụng sản phẩm
,- Làm việc nhóm với những lập trình viên PHP khác
,- Tối ưu sản phẩm, ứng dụng, website của khách hàng và công ty.
,- Tham gia quản lý nhóm nếu có khả năng phù hợp.,- Trên 6 tháng kinh nghiệm làm việc với PHP.
,- Có kiến thức tốt về PHP, lập trình hướng đối tượng, mô hình MVC.
,- Có kiến thức tốt về HTML, CSS, Javascript, jQuery.
,- Đọc, hiểu, viết tiếng Anh chuyên ngành tốt. Sử dụng thành thạo Tiếng Anh là một lợi thế.
,- Có tinh thần học hỏi cao, năng động, sáng tạo và nhiệt tình trong công việc.
,- Có trách nhiệm cao với công việc.
,- Có tư duy logic tốt, có kỹ năng giải quyết vấn đề và làm việc trong môi trường áp lực.
,- Ưu tiên ứng viên đã có kinh nghiệm với những thư viện, mã nguồn mở như Laravel, Magento, Wordpress, Opencart, Prestashop,...,- Thu nhập 14 - 20 tr/tháng
,- Lương hấp dẫn, theo thoả thuận, xứng đáng với hiệu quả công việc.
,- Xét tăng lương 1 năm/lần.
,- Lương tháng thứ 13.
,- Thưởng theo dự án, doanh thu, thưởng Tết và thưởng các ngày lễ.
,- Đầy đủ các chế độ, quyền lợi như BHXH, BHYT.
,- Được làm việc trong môi trường những người trẻ năng động, sáng tạo, ham học hỏi, chia sẻ và hỗ trợ bạn phát huy tối đa khả năng của mình.
,- Được tham gia các khóa đào tạo và phát triển cá nhân cả về chuyên môn, kỹ năng tiếng Anh và các kỹ năng mềm.
,- Làm việc 5 buổi / tuần, nghỉ thứ bảy, chủ nhật và nghỉ tất cả các ngày lễ theo quy định của Nhà nước.
,- Nghỉ phép tháng/năm theo luật lao động quy định.
,- Hỗ trợ ăn trưa, gửi xe.
,- Hỗ trợ máy tính và các trang thiết bị khác phục vụ công việc."
Lập Trình Viên,Công ty Dịch vụ MobiFone Khu vực 6 – CN Tổng Công ty Viễn thông MobiFone," Hạn nộp hồ sơ: 28/12/2022
","
Trên 10 triệu
",3 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Nghệ An,TP Vinh","AngularJS,HTML,Javascript,ReactJS"," Tham gia phát triển các dự án về Web, xây dựng các chức năng front-end của Website, Web application, Triển khai giao diện HTML/CSS/Javascript theo yêu cầu trên hệ thống website xây dựng sẵn, Thu thập ý kiến phản hồi và xây dựng các hướng giải quyết cho người sử dụng và khách hàng, Nghiên cứu và áp dụng các phương pháp hoặc công nghệ thích hợp để giải quyết vấn đề, Kỹ sư CNTT/ĐTVT, hệ chính quy, dưới 35 tuổi, Có chứng chỉ B/Toeic 450 trở lên hoặc tương đương., Thành thạo ngôn ngữ lập trình Javascript/Typescript…, Có kinh nghiệm sử dụng AngularJS/ReactJS/Vuejs…, Kiến thức về lập trình và thiết kế hướng đối tượng (OOP), Kiến thức về cấu trúc dữ liệu & giải thuật, design patterns, Kiến thức về quy trình phát triển phần mềm, Tư duy tốt, có khả năng nghiên cứu, đánh giá và cập nhật công nghệ mới,- Mức lương hấp dẫn, lương cứng tối thiểu từ 10-15 triệu đồng/tháng. Tổng thu nhập lên đến 400 triệu đồng/năm.,- Thưởng các ngày Lễ, Tết, xét tăng lương hàng năm và lương theo vị trí công việc và thưởng theo doanh thu.,- Bảo hiểm theo Quy định của nhà nước + Bảo hiểm sức khỏe của các đối tác hàng đầu như Bảo việt, PVI, Bảo Minh... khi khám chữa bệnh.,- Phúc lợi: nghỉ mát, nghỉ phép, du xuân, khám sức khỏe hàng năm, trợ cấp ốm đau, hiếu, hỉ…,- Được tham gia các khóa đào tạo trong và ngoài nước để nâng cao trình độ chuyên môn, nghiệp vụ.,- Hỗ trợ chi phí học và thi các chứng chỉ quốc tế.,- Được hưởng các chế độ ưu đãi khi sử dụng các dịch vụ của MobiFone.,- Làm việc từ thứ 2-6, nghỉ thứ 7,CN."
Java,Công ty TNHH đầu tư công nghệ và dịch vụ Sconnect Việt Nam," Hạn nộp hồ sơ: 20/01/2023
","
10-20 triệu
 ",3 người,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,"Hà Nội,Thanh Xuân","MySQL,Oracle,SQL Server,CSS3,Spring","  + Nhân viên- Chuyên viên-Chuyên viên cao cấp- Chuyên gia – Chuyên gia cao cấp,  + Nhân viên- Chuyên viên- Trưởng nhóm- Trưởng bộ phận- Giám đốc chuyên môn"
Nhân Viên IT,Công Ty TNHH Kiểm Toán & Tư Vấn RSM Việt Nam," Hạn nộp hồ sơ: 20/01/2023
","
Thoả thuận
",1 người,Toàn thời gian,Nhân viên,Nam,Không yêu cầu kinh nghiệm,"Hồ Chí Minh,Quận 1",,"Tiếp nhận và xử lý các yêu cầu của người dùng các lỗi  máy tính, mạng, phần mềm & các thiết bị ngoại vi.,Bảo quản thiết bị CNTT: lắp đặt/thu hồi/điều chuyển thiết bị cho nhân viên và kiểm kê tài sản.,Sử dụng và vận hành hệ thống trong vai trò uỷ quyền administrator: MS 365, DC,Mail, GPO, Wifi, tổng đài IP Phone, tổng đài quản lý ra vào văn phòng,Đồng quản lý kiểm soát các trạng thái thiết bị trung tâm,Đã tham gia các khoá học tương đương PC/Laptop Pan, MCSA, CCNA, ảo hoá,Có kiến thức về bảo mật dành cho người dùng cuối,Không cần kinh nghiệm, ưu tiên ứng viên mới ra trường/ tốt nghiệp đại học.,Tham gia bảo hiểm xã hội theo quy định nhà nước,Số lượng ngày phép năm cạnh tranh,Cung cấp laptop, văn phòng phẩm làm việc,Cơ hội học tập và phát triển kỹ năng,Thời gian làm việc: Thứ 2 - Thứ 6"
Tester,Công ty TNHH đầu tư công nghệ và dịch vụ Sconnect Việt Nam," Hạn nộp hồ sơ: 20/01/2023
","
10-15 triệu
",1 người,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,"Hà Nội,Thanh Xuân","Tester,test cases,test plan","+ Nhân viên – Chuyên viên – Chuyên viên cao cấp – Chuyên gia – Chuyên gia cao cấp.,+ Nhân viên – Chuyên viên – Trưởng nhóm – Trưởng bộ phận – Giám đốc chuyên môn."
Lập Trình Viên,Công ty Dịch vụ MobiFone Khu vực 6 – CN Tổng Công ty Viễn thông MobiFone," Hạn nộp hồ sơ: 28/12/2022
","
Trên 10 triệu
",2 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Nghệ An,TP Vinh","HTML5,Java,SQL"," Xây dựng các giải pháp về kiến trúc (architecture) và nền tảng (platform) cho các hệ thống phần mềm, Xây dựng tài liệu thiết kế tổng thể, thiết kế chi tiết, thiết kế CSDL, Xây dựng các chức năng theo tài liệu giải pháp chi tiết, Xây dựng các API, ứng dụng web, thư viện dùng chung có khả năng chịu lỗi tốt, tính bảo mật cao, dễ dàng mở rộng và tích hợp với các hệ thống khác, Viết và thực hiện unit test, Tối ưu các hệ thống nhằm đáp ứng khả năng xử lý lượng giao dịch lớn và khả năng phục vụ lượng lớn người dùng đồng thời, Nghiên cứu, áp dụng các công nghệ mới nhằm tối ưu hệ thống, Xây dựng các tài liệu mô tả dịch vụ/hệ thống, tài liệu cài đặt/cấu hình, tài liệu vận hành, tài liệu kiểm tra hệ thống hàng ngày liên quan đến lĩnh vực được giao nhiệm vụ, Kỹ sư CNTT/ĐTVT, hệ chính quy, dưới 35 tuổi, Có chứng chỉ B/Toeic 450 trở lên hoặc tương đương., Thành thạo một trong các ngôn ngữ lập trình Java, Golang, Nodejs, PHP…, Thành thạo một trong các công nghệ: Webservices (SOAP/RESTful), Websocket, Hibernate, JPA, HTML5/CSS3, Spring MVC, Struts…, Có kinh nghiệm làm việc với các hệ quản trị cơ sở dữ liệu SQL, NoSQL, Có kinh nghiệm sử dụng Github, Kiến thức về lập trình và thiết kế hướng đối tượng (OOP), Kiến thức về cấu trúc dữ liệu & giải thuật, design patterns, Kiến thức về quy trình phát triển phần mềm, Tư duy tốt, có khả năng nghiên cứu, đánh giá và cập nhật công nghệ mới,- Mức lương hấp dẫn, lương cứng tối thiểu từ 10-15 triệu đồng/tháng. Tổng thu nhập lên đến 400 triệu đồng/năm.,- Thưởng các ngày Lễ, Tết, xét tăng lương hàng năm và lương theo vị trí công việc và thưởng theo doanh thu.,- Bảo hiểm theo Quy định của nhà nước + Bảo hiểm sức khỏe của các đối tác hàng đầu như Bảo việt, PVI, Bảo Minh... khi khám chữa bệnh.,- Phúc lợi: nghỉ mát, nghỉ phép, du xuân, khám sức khỏe hàng năm, trợ cấp ốm đau, hiếu, hỉ…,- Được tham gia các khóa đào tạo trong và ngoài nước để nâng cao trình độ chuyên môn, nghiệp vụ.,- Hỗ trợ chi phí học và thi các chứng chỉ quốc tế.,- Được hưởng các chế độ ưu đãi khi sử dụng các dịch vụ của MobiFone.,- Làm việc từ thứ 2-6, nghỉ thứ 7,CN."
Business Analyst,Công ty TNHH Công nghệ số Adamo," Hạn nộp hồ sơ: 20/01/2023
","
10-20 triệu
",1 người,Toàn thời gian,Nhân viên,Nam,1 năm,"Hà Nội,Nam Từ Liêm",,"Tiếp nhận, khảo sát, thu thập yêu cầu từ khách hàng theo yêu cầu phát triển của dự án,,Phân tích yêu cầu và dữ liệu, mô tả quy trình nghiệp vụ, use cases, scenarios, phân tích nghiệp vụ để đưa ra các yêu cầu về nghiệp vụ, giao diện và tính năng.,Thiết kế mô hình dữ liệu, tạo các mockups hay prototypes cho dự án.,Lập các tài liệu phân tích URD, SRS cho dự án,Chuyển giao các nghiệp vụ cho team dự án,Tham gia nghiên cứu, tìm hiểu các giải pháp và ứng dụng công nghệ vào dự án,Chi tiết sẽ trao đổi cụ thể khi phỏng vấn,Có từ 6 tháng kinh nghiệm làm về BA,Có nền tảng kiến thức về công nghệ thông tin và phát triển phần mềm,Có kiến thức cơ bản về dữ liệu và truy vấn dữ liệu,Có kiến thức và kỹ năng kiểm thử phần mềm,Sử dụng thành thạo các công cụ hỗ trợ phân tích như: UML, Microsoft Visio, Axure RP…,Có khả năng giao tiếp tiếng Anh tốt.,Kỹ năng phân tích và giải quyết các vấn đề chuyên môn tốt,Mức lương hấp dẫn: 10,000,000 – 20,000,000 đ/tháng.,Thử việc 90% lương.,Thời gian làm việc: Thứ 2 – thứ 6.,Tháng lương thứ 13, 14,Review lương 2 lần 1 năm,Thưởng các dịp lễ Tết, thưởng quý, thưởng thâm niên, thưởng lợi nhuận.,Quà tặng dịp sinh nhật cá nhân,Cơ hội được học hỏi, làm việc với công nghệ mới,Được làm việc trong một môi trường chuyên nghiệp với các đối tác nước ngoài,Du lịch, teambuilding 2-3 lần/năm,Khám sức khỏe định kỳ cho nhân viên,Hỗ trợ tham gia các khóa đào tạo nâng cao kiến thức và kỹ năng"
"
Kỹ Sư An Ninh Bảo Mật (Không Yêu Cầu Kinh Nghiệm)
",CÔNG TY VIỄN THÔNG ĐIỆN LỰC VÀ CÔNG NGHỆ THÔNG TIN - CHI NHÁNH TẬP ĐOÀN ĐIỆN LỰC VIỆT NAM," Hạn nộp hồ sơ: 28/12/2022
","
Trên 15 triệu
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,"Hà Nội,Ba Đình",,"- Nghiên cứu các giải pháp, công nghệ trong lĩnh vực ANBM, triển khai, áp dụng các giải pháp, công nghệ, biện pháp kỹ thuật ATTT vào hệ thống CNTT, khắc phục các điểm yếu để tăng cường ANBM.
,- Thường xuyên cập nhật thông tin, tình hình về các lỗ hổng, công nghệ, biện pháp xử lý các lỗ hổng về an ninh bảo mật phổ biến và thông báo trong đơn vị áp dụng.
,- Theo dõi, giám sát ANBM hệ thống CNTT, tiếp nhân thông tin sự cố ATTT, tham gia ứng cứu, khắc phục, điều tra sự số ATTT.
,- Sử dụng các công cụ, kỹ thuật kiểm tra, dò quét và báo cáo chất lượng ATTT đối các hệ thống do EVNICT vận hành.
,- Tư vấn, xây dựng, triển khai các dự án, các giải pháp kỹ thuật liên quan đến ANBM.
,- Xây dựng các quy trình, quy định về ANBM, tham gia triển khai, hướng dẫn và kiểm soát sự tuân thủ các quy trình, quy định về ANBM.,- Tốt nghiệp đại học thuộc một trong các chuyên ngành: Công nghệ thông tin, điện tử viễn thông, khoa học máy tính hoặc tương đương tại một trong các Trường Đại học có uy tín sau: ĐH Bách khoa, ĐH Quốc gia, ĐH FPT, ĐH Xây dựng, Học viện Công nghệ Bưu chính viễn thông, ĐH Công nghiệp, ĐH Hà Nội, ĐH Mở, Học viện Kỹ thuật Mật mã, Học viện Kỹ thuật Quân sự, ĐH Giao thông vận tải, các trường Đại học nước ngoài có uy tín hoặc liên kết đào tạo với trường Đại học ở Việt Nam và cấp bằng Đại học hoặc tương đương được Bộ Giáo dục và Đào tạo Việt Nam công nhận.
,- Mong muốn làm việc lâu dài cho EVNICT.
,- Có năng lực tự học, tự nghiên cứu
,- Sẵn sàng làm việc ngoài giờ, đi công tác xa dài ngày, chịu khó chịu khổ
,- Ưu tiên có chứng chỉ quốc tế uy tín,VẬY BẠN CÓ ĐƯỢC GÌ KHI VỀ ĐẦU QUÂN CHO EVNICT?
,- Thưởng các ngày lễ lớn trong năm
,- PHÁT TRIỂN NHÂN VIÊN: Tại EVNICT luôn dành ra ngân sách cho việc đào tạo nhân viên: từ cấp quản lý đến nhân viên đều được tham gia các khóa đào tạo từ ngoại ngữ, kỹ năng mềm, đến các khóa học nhằm mục đích nâng cao kiến thức chuyên môn cho nhân viên
,- Tất cả nhân viên ký hợp đồng chính thức với công ty đều được hưởng các chế độ BHXH, BHYT, BHTN theo đúng quy định của nhà nước
,- Tổ chức du lịch hàng năm cho nhân viên để mọi người có cơ hội giao lưu, thư giãn và nghỉ ngơi
,- Tổ chức các hoạt động quà tặng dành cho nhân viên và gia đình vào những ngày lễ lớn trong năm như: Quốc tế phụ nữ, quốc tế thiếu nhi, tết trung thu…"
"
Internship Công Nghệ Thông Tin
",CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ HTCSOFT VIỆT NAM," Hạn nộp hồ sơ: 15/01/2023
 ","
Thoả thuận
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,"Hà Đông,Hà Nội",,"Phát triển các website trên nền tảng thương mại điện tử như Magento, Shopware, ...
,Tham gia bảo trì, nâng cấp các hệ thống của công ty và của khách hàng
,Thực hiện các công việc phân tích, thiết kế, nghiên cứu công nghệ mới,Sinh viên sắp tốt nghiệp hoặc mới ra trường chuyên ngành công nghệ thông tin.
,Không yêu cầu về kinh nghiệm, chưa có kinh nghiệm sẽ được đào tạo.
,Đam mê, yêu thích lập trình là một lợi thế,Hỗ trợ lương: 2 triệu
,Thời gian làm việc từ T2 -T6/ nghỉ T7 - CN
,Được đào tạo bài bản với các trainer là các Developer có nhiều năm kinh nghiệm.
,Có cơ hội trở thành viên chính thức sau khi hết thời gian thực tập.
,Được hưởng đầy đủ các chế độ của công ty: teambuilding, du lịch…
,Được tham gia các câu lạc bộ nội bộ: đá bóng, game…
,Làm việc trong môi trường trẻ trung, hỗ trợ phát huy khả năng, phát triển công việc tối đa.
,Xét tăng lương theo năng lực và hiệu quả công việc.
,Thưởng lương tháng 13"
PHP Developer,CÔNG TY CỔ PHẦN GIẢI PHÁP VÀ CÔNG NGHỆ VIETNIX," Hạn nộp hồ sơ: 04/01/2023
","
Thoả thuận
",1 người,Toàn thời gian,Nhân viên,Nam,1 năm,"Hồ Chí Minh,Tân Bình",,"Làm việc với các hệ thống website của công ty (WordPress) nhằm nâng cao hiệu suất, tốc độ và nâng cao trải nghiệm người dùng trên các hệ thống của công ty.,Bảo trì, thêm mới các tính năng cho các hệ thống nội bộ nhằm nâng cao hiệu suất công việc.,Phát triển các sản phẩm mới của công ty trong tương lai sử dụng PHP.,Kinh nghiệm làm việc ít nhất 1 năm trong lĩnh vực lập trình web.,Có kinh nghiệm làm việc với PHP.,Có kinh nghiệm làm việc với HTML, CSS, JavaScript, jQuery.,Có kinh nghiệm làm việc với GIT.,Có khả năng tự nghiên cứu và làm việc độc lập cũng như làm việc nhóm tốt.,Lương cơ bản: 10 - 16 triệu,Review lương theo năng lực và hiệu quả ít nhất 1 lần 1 năm,Lương tháng 13,Hỗ trợ ăn trưa,Ngày nghỉ: 12 ngày phép/năm,Tham gia đầy đủ các chế độ BHYT, BHXH, BHTN,Teambuilding 2 lần/năm, nghỉ các ngày lễ tết, dịp đặc biệt của công ty"
